provincia,municipi,poblacio,marca,direccio,horari,gasoleo_a,gasolina_95,url
barcelona,barcelona,BARCELONA,B-OIL,"CALLE BAC DE RODA, 130",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-b-oil-calle-bac-de-roda-130-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,REPSOL,"CALLE BALMES, 288",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-repsol-calle-balmes-288-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,BALLENOIL,"CALLE CLOT, 2",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-ballenoil-calle-clot-2-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,PETROMIRALLES,"CALLE PORT DE HAIFA, S/N",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-petromiralles-calle-port-de-haifa-sn-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,GALP,"Almogavares, 66",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-galp-almogavares-66-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,M AUTOMOCION,"CALLE PERU, 171",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-m-automocion-calle-peru-171-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,BALLENOIL,"CALLE LOPE DE VEGA, 125/139",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-ballenoil-calle-lope-de-vega-125139-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,CEPSA,"CALLE CASANOVA, 89",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-cepsa-calle-casanova-89-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,REPSOL,"AVENIDA DEL LITORAL, 49",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-repsol-avenida-del-litoral-49-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,REPSOL,"CL PASEO ZONA FRANCA, 35",L-D: 06:00-22:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-repsol-cl-paseo-zona-franca-35-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,REPSOL,"PASSEIG ZONA FRANCA, 82",L-D: 06:00-22:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-repsol-passeig-zona-franca-82-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,REPSOL,"AVENIDA BOGATELL, 49",L-V: 07:00-21:00; S: 08:00-14:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-repsol-avenida-bogatell-49-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,GRATSA,CASANOVA 23,L-D: 06:00-22:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-gratsa-casanova-23-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,GALP,"PASSEIG ZONA FRANCA, 81",L-V: 06:00-21:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-galp-passeig-zona-franca-81-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,EVOLUTION,"CALLE PERE IV, 79",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-evolution-calle-pere-iv-79-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,REPSOL,"CALLE VALENCIA, 503",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-repsol-calle-valencia-503-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,GALP,"CALLE BAC DE RODA, 66",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-galp-calle-bac-de-roda-66-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,GALP,"AVINGUDA DEL PARALELO, 132",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-galp-avinguda-del-paralelo-132-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,PETROPRIX,"CALLE BADAJOZ, 108",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-petroprix-calle-badajoz-108-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,REPSOL,"CALLE DIPUTACION, 371",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-repsol-calle-diputacion-371-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,PETROZAL,"PASSATGE Moçambic, 2",L-V: 06:00-20:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-petrozal-passatge-moambic-2-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,TAMOIL,"CALLE PUJADES, 309",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-tamoil-calle-pujades-309-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,MOEVE,"CALLE COMTE D'URGELL, 219",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-moeve-calle-comte-durgell-219-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,Q8,"CARRER PERE IV, 544",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-q8-carrer-pere-iv-544-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,GALP,"CALLE CALLE Y PUERTO AUTONOMO, S/N",L-V: 06:00-22:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-galp-calle-calle-y-puerto-autonomo-sn-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,MOEVE,"AVENIDA PARALELO, 179",L-D: 06:00-22:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-moeve-avenida-paralelo-179-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,MOEVE,"RONDA GENERAL MITRE, 128",L-D: 06:00-22:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-moeve-ronda-general-mitre-128-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,CEPSA,"CALLE ROGER DE FLOR, 58",L-V: 06:00-22:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-cepsa-calle-roger-de-flor-58-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,GALP,"Pº de la Zona Franca, 221-239",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-galp-p-de-la-zona-franca-221-239-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,SHELL,"CALLE A ZONA FRANCA, 3",L-S: 05:00-23:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-shell-calle-a-zona-franca-3-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,GARDENOIL,"CALLE EDUARDO CONDE, 11",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-gardenoil-calle-eduardo-conde-11-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,BP ALMOGAVARES,CL ALMOGAVARES 159 - 161,L-J: 06:00-22:00; V: 06:00-23:00; S-D: 10:00-14:30 y 15:30-21:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-bp-almogavares-cl-almogavares--159---161-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,BALLENOIL,"CALLE CIUDAD DE ASUNCIÓN, 12",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-ballenoil-calle-ciudad-de-asuncion-12-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,GM FUEL STATIONS,"CARRER 29 DE LA ZONA FRANCA, 62",L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-gm-fuel-stations-carrer-29-de-la-zona-franca-62-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,CAMPSA,"CALLE PUJADES, 154",L-D: 06:00-20:00,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-campsa-calle-pujades-154-en-el-municipio-barcelona
barcelona,barcelona,BARCELONA,BP VIA FAVENCIA,CL VIA FAVENCIA 75 - 121,L-D: 24H,-,-,https://www.clickgasoil.com/g/precios-combustible-gasolinera-bp-via-favencia-cl-via-favencia--75---121-en-el-municipio-barcelona
